t,Ek,Ep,Ec
0.454,1.51e-09,6.08821e-09,7.59822e-09
0.455,1.5162e-09,6.08227e-09,7.59847e-09
0.456,1.5224e-09,6.07631e-09,7.59872e-09
0.457,1.52862e-09,6.07035e-09,7.59897e-09
0.458,1.53484e-09,6.06438e-09,7.59922e-09
0.459,1.54107e-09,6.05839e-09,7.59947e-09
0.46,1.54731e-09,6.0524e-09,7.59972e-09
0.461,1.55357e-09,6.0464e-09,7.59997e-09
0.462,1.55983e-09,6.04039e-09,7.60022e-09
0.463,1.5661e-09,6.03437e-09,7.60047e-09
0.464,1.57238e-09,6.02835e-09,7.60073e-09
0.465,1.57867e-09,6.02231e-09,7.60098e-09
0.466,1.58497e-09,6.01626e-09,7.60123e-09
0.467,1.59128e-09,6.01021e-09,7.60149e-09
0.468,1.59759e-09,6.00415e-09,7.60174e-09
0.469,1.60392e-09,5.99807e-09,7.60199e-09
0.47,1.61026e-09,5.99199e-09,7.60225e-09
0.471,1.6166e-09,5.9859e-09,7.6025e-09
0.472,1.62296e-09,5.9798e-09,7.60276e-09
0.473,1.62932e-09,5.97369e-09,7.60301e-09
0.474,1.63569e-09,5.96758e-09,7.60327e-09
0.475,1.64208e-09,5.96145e-09,7.60353e-09
0.476,1.64847e-09,5.95532e-09,7.60378e-09
0.477,1.65487e-09,5.94917e-09,7.60404e-09
0.478,1.66128e-09,5.94302e-09,7.6043e-09
0.479,1.6677e-09,5.93686e-09,7.60456e-09
0.48,1.67413e-09,5.93069e-09,7.60482e-09
0.481,1.68056e-09,5.92451e-09,7.60508e-09
0.482,1.68701e-09,5.91833e-09,7.60533e-09
0.483,1.69346e-09,5.91213e-09,7.60559e-09
0.484,1.69993e-09,5.90593e-09,7.60585e-09
0.485,1.7064e-09,5.89971e-09,7.60611e-09
0.486,1.71288e-09,5.89349e-09,7.60637e-09
0.487,1.71937e-09,5.88726e-09,7.60664e-09
0.488,1.72587e-09,5.88103e-09,7.6069e-09
0.489,1.73238e-09,5.87478e-09,7.60716e-09
0.49,1.7389e-09,5.86852e-09,7.60742e-09
0.491,1.74542e-09,5.86226e-09,7.60768e-09
0.492,1.75196e-09,5.85599e-09,7.60795e-09
0.493,1.7585e-09,5.84971e-09,7.60821e-09
0.494,1.76505e-09,5.84342e-09,7.60847e-09
0.495,1.77161e-09,5.83713e-09,7.60874e-09
0.496,1.77818e-09,5.83082e-09,7.609e-09
